"WINDOW","start_time","end_time","hr_mean","hr_sd","hr_min","hr_max","hr_range","acc_mean","acc_sd","acc_min","acc_max","acc_range","eda_mean","eda_sd","eda_min","eda_max","eda_range","temp_mean","temp_sd","temp_min","temp_max","temp_range","src","stress"
1430,2020-07-22 15:37:26,2020-07-22 15:38:25,62.403125,3.26546519146456,56,66.75,10.75,64.7707031038917,6.07584790801416,36.6196668472011,106.141415102683,69.5217482554816,0.612501278688525,0.0805494505243272,0.438429,0.745912,0.307483,31.7591803278689,0.0281836289340226,31.69,31.81,0.119999999999997,"15_1595425036",2
1431,2020-07-22 15:38:26,2020-07-22 15:39:25,93.393125,1.13144579336941,91.38,95.1,3.72,63.4393225644999,2.40640706417228,45.1220566907139,73.851201750547,28.7291450598331,0.794470459016393,0.0247720001558034,0.729256,0.827907,0.0986509999999999,31.5631147540984,0.0270518627582001,31.51,31.61,0.0999999999999979,"15_1595425036",2
1432,2020-07-22 15:39:26,2020-07-22 15:40:25,89.76375,0.203269115542261,89.28,90.03,0.75,66.1986673679762,8.86674816104185,41.988093550434,112.609946274741,70.6218527243067,1.528845,0.156849174962233,1.225141,1.803051,0.57791,31.5070491803279,0.0342220329756086,31.41,31.57,0.16,"15_1595425036",2
1433,2020-07-22 15:40:26,2020-07-22 15:41:25,81.031875,0.413492744797295,80.27,81.48,1.21000000000001,66.4879301903486,8.66948934729805,41.024382993532,101.813555089683,60.7891720961514,2.5822628852459,0.327665431003694,1.933787,3.007523,1.073736,31.3867213114754,0.0210334108404862,31.35,31.43,0.0799999999999983,"15_1595425036",2
1434,2020-07-22 15:41:26,2020-07-22 15:42:25,77.33625,1.05791540304507,76.33,79.4,3.07000000000001,65.3181322498589,8.272256507266,45,89.8053450525079,44.8053450525079,2.49828180327869,0.0787603349730095,2.386042,2.729398,0.343356,30.7585245901639,0.0423413141653141,30.67,30.81,0.139999999999997,"15_1595425036",2
1435,2020-07-22 15:42:26,2020-07-22 15:43:25,72.7225,0.645306128903172,71.43,73.35,1.91999999999999,65.1497917807867,4.03002467749561,38.6781592116274,98.0510071340422,59.3728479224148,4.44954306557377,0.357774098815014,3.454633,4.89897,1.444337,30.6654098360656,0.0279030327199882,30.63,30.71,0.0800000000000018,"15_1595425036",2
1436,2020-07-22 15:43:26,2020-07-22 15:44:25,74.2675,2.17374791546766,71.27,77.67,6.40000000000001,64.7955845026101,9.88116918396424,26.6458251889485,138.33654614743,111.690720958481,4.75626819672131,0.178958214786098,4.355751,5.102016,0.746265,30.5745901639344,0.0369492341143803,30.51,30.65,0.139999999999997,"15_1595425036",2
1437,2020-07-22 15:44:26,2020-07-22 15:45:25,104.135,1.14483186538461,101.78,105.43,3.65000000000001,65.4977112385268,8.01391558341674,27.1661554144122,96.7109094156393,69.5447540012271,4.58564603278688,0.255854382141937,3.980366,5.128921,1.148555,30.6804918032787,0.0257181018939452,30.63,30.75,0.120000000000001,"15_1595425036",2
1438,2020-07-22 15:45:26,2020-07-22 15:46:25,85.62625,2.45794460203371,82.85,89.82,6.97,65.8608480276877,11.3117493574628,20.0249843945008,116.653332571341,96.6283481768407,4.27979416393443,0.339076880278361,3.493068,4.865659,1.372591,30.9929508196721,0.0291744330019224,30.93,31.03,0.100000000000001,"15_1595425036",2
1439,2020-07-22 15:46:26,2020-07-22 15:47:25,83.51875,0.222976082424402,83.28,83.97,0.689999999999998,65.4855136607679,9.16611147351671,38.6522961801754,123.523277158599,84.8709809784233,4.63533954098361,0.314020174207888,3.806126,5.240383,1.434257,30.8781967213115,0.0631798542976405,30.73,31.01,0.280000000000001,"15_1595425036",2
1440,2020-07-22 15:47:26,2020-07-22 15:48:25,82.584375,1.42541207492196,80.17,84.57,4.39999999999999,63.9542371091966,2.27051863132697,40.8289113251872,91.438503924769,50.6095925995818,5.08004604918033,0.210789646368793,4.564583,5.707595,1.143012,31.5103278688525,0.0573285040538232,31.41,31.61,0.199999999999999,"15_1595425036",2
1441,2020-07-22 15:48:26,2020-07-22 15:49:25,85.875,0.302346379725859,85.65,86.73,1.08,65.3973406562211,9.42208715822989,27,112.698713391059,85.6987133910587,5.04562570491803,0.4281885723079,4.392905,5.748593,1.355688,32.0834426229508,0.0756501871753937,31.95,32.21,0.260000000000002,"15_1595425036",2
1442,2020-07-22 15:49:26,2020-07-22 15:50:25,79.234375,2.12014455088955,75.6,81.93,6.33000000000001,64.2082931346695,3.1490539598759,43.2666153055679,90.8240056372763,47.5573903317084,4.76838490163934,0.134189722653749,4.444772,4.977742,0.53297,32.5724590163934,0.0604608892233898,32.49,32.68,0.189999999999998,"15_1595425036",2
1443,2020-07-22 15:50:26,2020-07-22 15:51:25,83.679375,2.86861050859122,79.43,88.4,8.97,65.4491525838608,10.9966332851828,17.464249196573,134.152897844214,116.688648647641,5.12785245901639,0.298315975500786,4.392905,5.728095,1.33519,33.1431147540984,0.0529005665882235,33.03,33.23,0.199999999999996,"15_1595425036",2
1444,2020-07-22 15:51:26,2020-07-22 15:52:25,106.484375,0.681899002785603,105.28,107.22,1.94,64.8687179393282,9.00425561756422,34.0734500748016,115.697882435246,81.6244323604443,5.50775647540984,0.334520824212664,5.043946,6.139728,1.095782,33.3937704918033,0.0534840765844136,33.29,33.47,0.18,"15_1595425036",2
1445,2020-07-22 15:52:26,2020-07-22 15:53:25,84.43875,1.17395556417893,83.38,87.03,3.65000000000001,64.059458459078,0.521538405753539,62.4259561400544,66.6033032213869,4.17734708133242,5.33206383606557,0.0493549923132336,5.228436,5.438549,0.210113,33.6832786885246,0.0188610101775608,33.66,33.73,0.0700000000000003,"15_1595425036",2
1446,2020-07-22 15:53:26,2020-07-22 15:54:25,95.93625,2.01969263338096,92.5,98.97,6.47,66.4106585369364,12.1965972136444,24.7790233867277,135.694509837355,110.915486450627,4.30882863934426,0.317860024093207,4.02777,5.062299,1.034529,34.0145901639344,0.0394788454108363,33.97,34.09,0.120000000000005,"15_1595425036",2
1447,2020-07-22 15:54:26,2020-07-22 15:55:25,136.495,4.20932773729963,129.95,142.83,12.88,64.7757297080589,3.33023660923291,53.7494186015068,83.868945385047,30.1195267835403,4.70799540983607,0.174271103900157,4.316035,5.055893,0.739858,34.0483606557377,0.0288201508132098,33.99,34.09,0.100000000000001,"15_1595425036",2
1448,2020-07-22 15:55:26,2020-07-22 15:56:25,131.94625,5.09738217127184,123.88,139.98,16.1,69.1834180220424,18.4798255227553,13.1909059582729,201.08207279616,187.891166837887,4.53203903278689,0.271895800454081,3.904326,5.071268,1.166942,34.0332786885246,0.0365477455517849,33.91,34.09,0.180000000000007,"15_1595425036",2
1449,2020-07-22 15:56:26,2020-07-22 15:57:25,106.90375,1.1814560225981,104.97,108.82,3.84999999999999,65.1096879300327,7.10874265304312,35.5105618091294,105.07140429251,69.5608424833802,4.46773857377049,0.125138491620212,4.280162,4.742666,0.462504,34.0073770491803,0.0507248012759131,33.93,34.09,0.160000000000004,"15_1595425036",2
1450,2020-07-22 15:57:26,2020-07-22 15:58:25,81.610625,2.85295511998816,76.95,85.97,9.02,64.1173092847375,3.05057463542921,46.0543157586778,103.547090736534,57.4927749778562,4.15703316393443,0.0694753438315063,4.056787,4.370675,0.313888,33.865737704918,0.0247964390180947,33.77,33.89,0.119999999999997,"15_1595425036",2
1451,2020-07-22 15:58:26,2020-07-22 15:59:25,65.509375,0.67970060811115,64.95,66.98,2.03,64.2295990528947,0.531682172472677,57.393379409127,65.8027355054484,8.40935609632144,3.97544214754098,0.0328679370368936,3.872297,4.041412,0.169115,33.8175409836066,0.0149058979048467,33.79,33.84,0.0500000000000043,"15_1595425036",2
1452,2020-07-22 15:59:26,2020-07-22 16:00:25,107.991875,1.35213026369503,105.07,109.37,4.30000000000001,65.0915922391317,5.86829441994356,32.5883414736007,92.8708781050336,60.2825366314329,4.40550696721311,0.10915370158313,4.113609,4.650422,0.536813,33.8865573770492,0.0423038708198051,33.81,33.97,0.159999999999997,"15_1595425036",2
1463,2020-07-22 16:10:26,2020-07-22 16:11:25,75.19375,0.935092687028047,73.98,76.73,2.75,65.6892376057712,10.2432370161964,33.8526217596215,119.724684171644,85.8720624120229,5.9936908852459,0.261763638291946,5.431237,6.74146,1.310223,32.967868852459,0.0149571336490162,32.93,33,0.0700000000000003,"15_1595425036",2
1464,2020-07-22 16:11:26,2020-07-22 16:12:25,83.29375,0.980039965171489,81.87,84.63,2.75999999999999,67.834986970179,18.9384636754513,16.6733320005331,159.238814363835,142.565482363302,6.2989787704918,0.321819288007747,5.631101,6.881108,1.250007,32.9054098360656,0.278385666360488,32.29,33.15,0.859999999999999,"15_1595425036",2
1465,2020-07-22 16:12:26,2020-07-22 16:13:25,92.215625,0.152226530758167,92.07,92.48,0.410000000000011,68.5008951318864,17.4290683383556,30.199337741083,144.758419444259,114.559081703176,7.48094798360656,0.439460139056301,6.422447,8.084309,1.661862,32.7316393442623,0.131062075977618,32.53,32.87,0.339999999999996,"15_1595425036",2
1466,2020-07-22 16:13:26,2020-07-22 16:14:25,86.19,1.46040177120316,84.02,88.7,4.68000000000001,64.4177633047878,2.35150738836169,49.6789693934969,89.3867999203462,39.7078305268493,7.49359636065574,0.373276558423735,7.210546,9.676798,2.466252,32.7840983606557,0.0337331216650305,32.71,32.83,0.119999999999997,"15_1595425036",2
1467,2020-07-22 16:14:26,2020-07-22 16:15:25,82.54375,2.02105871595393,79.82,85.75,5.93000000000001,64.3393423775248,0.538090349627632,61.6927872607487,66.0681466366357,4.37535937588699,11.3932045737705,0.309816203326556,10.721849,11.88828,1.166431,33.0162295081967,0.0260872851804748,32.97,33.07,0.100000000000001,"15_1595425036",2
1468,2020-07-22 16:15:26,2020-07-22 16:16:25,95.748125,0.495596862379092,95.13,96.48,1.35000000000001,64.1988120589033,1.56958529456689,47.9791621435806,82.3346828499388,34.3555207063581,13.6045466557377,0.693373057839234,12.072111,14.401258,2.329147,33.4309836065574,0.0407310249495724,33.37,33.49,0.120000000000005,"15_1595425036",2
1469,2020-07-22 16:16:26,2020-07-22 16:17:25,96.7025,0.19264821134216,96.47,96.98,0.510000000000005,64.030140636286,1.38959251886284,58.0517010948,75.2462623656484,17.1945612708485,17.3041131639344,0.122775006157222,17.110382,17.593386,0.483003999999998,33.3109836065574,0.0466799356623659,33.23,33.37,0.140000000000001,"15_1595425036",2
1470,2020-07-22 16:17:26,2020-07-22 16:18:25,102.725625,1.44862219022076,100.58,105.23,4.65000000000001,72.5561409529383,20.747825348814,21.5638586528478,166.655332947974,145.091474295126,16.6106870655738,0.970923997153671,15.234311,19.219501,3.98519,32.7667213114754,0.126684928220571,32.55,32.93,0.380000000000003,"15_1595425036",2
1471,2020-07-22 16:18:26,2020-07-22 16:19:25,128.801875,1.00704994083379,127.17,130.28,3.11,68.5241097456745,12.4234917338827,27.3130005674953,128.705089254466,101.39208868697,8.6342926557377,0.496446155651174,8.018476,9.752388,1.733912,32.9067213114754,0.016804891299401,32.87,32.93,0.0600000000000023,"15_1595425036",2
1472,2020-07-22 16:19:26,2020-07-22 16:20:25,140.285,1.23832682815698,138.37,142.3,3.93000000000001,63.6556384294278,1.69350096218324,57.8791845139511,76.7202711152665,18.8410866013154,8.43120957377049,0.30835345147306,7.976644,9.150674,1.17403,32.8116393442623,0.0138058354653444,32.79,32.83,0.0399999999999991,"15_1595425036",2
1473,2020-07-22 16:20:26,2020-07-22 16:21:25,130.39375,2.62968153965456,126.18,134.65,8.47,63.6890966406186,1.82756904682245,59.0084739677277,77.9037868142493,18.8953128465216,11.473012295082,0.295495454403975,10.96946,11.927996,0.958536,33.2539344262295,0.0703628379313164,33.15,33.37,0.219999999999999,"15_1595425036",2
1474,2020-07-22 16:21:26,2020-07-22 16:22:25,117.960625,1.48308897800053,115.27,119.95,4.68000000000001,64.5589006966375,7.48948595600022,34.3656805548792,149.646249535363,115.280568980483,22.4974387377049,0.895755472470936,21.426538,24.656729,3.230191,33.9926229508197,0.132588355941038,33.79,34.15,0.359999999999999,"15_1595425036",2
1475,2020-07-22 16:22:26,2020-07-22 16:23:25,95.25375,3.66660765104022,89.7,101.02,11.32,64.8810481528857,1.28472846546701,59.9499791492875,75.5314504031268,15.5814712538393,25.9209598688525,0.254417898382463,25.597202,26.398476,0.801273999999999,34.3983606557377,0.0230347800704974,34.34,34.45,0.109999999999999,"15_1595425036",2
1476,2020-07-22 16:23:26,2020-07-22 16:24:25,82.330625,0.719504169550115,81.3,83.5,2.2,66.4022409084802,9.70524938733441,29.8998327754521,142.755034937476,112.855202162024,25.1814598196721,0.722389786868385,23.588226,26.424099,2.835873,34.2677049180328,0.155224498094673,34.09,34.53,0.439999999999998,"15_1595425036",2
1477,2020-07-22 16:24:26,2020-07-22 16:25:25,74.175,0.6324449910203,73.6,75.5,1.90000000000001,64.8036689979595,0.559085931448419,61.8142378421024,67.3349834781297,5.52074563602734,11.0077222459016,1.43170392992093,9.351379,13.822165,4.470786,34.7916393442623,0.0215391370818212,34.77,34.84,0.0700000000000003,"15_1595425036",2
1478,2020-07-22 16:25:26,2020-07-22 16:26:25,83.525,1.24634933572681,81.2,85.07,3.86999999999999,64.9190767874687,0.269948371519205,64.5832795698701,65.9772688128267,1.39398924295664,2.57734413114754,0.19500709756677,2.133651,2.91656,0.782909,34.8204918032787,0.0100707877063953,34.81,34.83,0.019999999999996,"15_1595425036",2
1479,2020-07-22 16:26:26,2020-07-22 16:27:25,90.093125,1.13154006410143,88.3,91.85,3.55,64.9139493221298,2.935837195086,48.5180378828328,88.1249113474731,39.6068734646403,12.0305008360656,0.443913635289425,11.314936,13.692192,2.377256,35.0496721311475,0.0548320834644211,34.97,35.13,0.160000000000004,"15_1595425036",2
1480,2020-07-22 16:27:26,2020-07-22 16:28:25,76.3525,0.779516944438456,75.43,77.95,2.52,66.5674510976339,14.2550073475033,12.5698050899765,148.502525231055,135.932720141078,13.7304690491803,0.740999382752901,11.821456,15.018175,3.196719,35.0224590163934,0.0254725824960159,34.99,35.09,0.100000000000001,"15_1595425036",2
1481,2020-07-22 16:28:26,2020-07-22 16:29:25,84.728125,1.66964754264685,82.03,86.42,4.39,65.9954905984237,6.15804033085568,36.8374809127877,103.01941564579,66.1819347330021,9.40631895081967,1.28212038339622,7.851923,11.578235,3.726312,35.0372131147541,0.0189851826030173,35,35.07,0.0700000000000003,"15_1595425036",2
1482,2020-07-22 16:29:26,2020-07-22 16:30:25,76.915625,1.00171831536282,75.28,78.05,2.77,64.9868053770956,6.57139889169931,38.3014360044111,98.5697722428129,60.2683362384017,13.3356675901639,1.00676981794518,11.505831,15.609696,4.103865,34.6803278688525,0.0900364225025032,34.5,34.84,0.340000000000003,"15_1595425036",2
1483,2020-07-22 16:30:26,2020-07-22 16:31:25,74.764375,0.46918324423051,74.12,75.53,1.41,65.464128709956,6.58366300817067,45.8802789878178,116.880280629369,71.0000016415509,13.8071984262295,1.23088612216232,11.856048,16.382214,4.526166,34.5175409836066,0.0358076219868023,34.49,34.59,0.100000000000001,"15_1595425036",2
1484,2020-07-22 16:31:26,2020-07-22 16:32:25,79.51125,0.857328214085285,78.18,80.62,2.44,64.9202801878942,1.03965436612005,58.7026404857567,71.7983286713556,13.0956881855989,24.494276,0.710534725595168,23.157261,25.893154,2.735893,34.8116393442623,0.0117161324490135,34.79,34.83,0.0399999999999991,"15_1595425036",2
1770,2020-07-24 14:54:02,2020-07-24 14:55:01,91.998125,0.062098711741869,91.88,92.1,0.219999999999999,66.9331167009507,16.7814843691403,14.0356688476182,186.056443048877,172.020774201259,9.86953870491803,0.692431857381056,7.778206,10.91281,3.134604,30.3195081967213,0.109032506307495,30.17,30.45,0.279999999999998,"15_1595592772",2
1771,2020-07-24 14:55:02,2020-07-24 14:56:01,81.998125,0.705967126241253,81.17,83.18,2.01,65.7520187714721,9.32617789879081,29.8998327754521,118.570654042221,88.6708212667686,8.9217593442623,0.318460657893869,8.406134,9.377138,0.971004000000001,29.8024590163934,0.0490120984283449,29.75,29.89,0.140000000000001,"15_1595592772",2
1772,2020-07-24 14:56:02,2020-07-24 14:57:01,89.3325,2.39023150901051,85.83,93.27,7.44,69.156874483337,12.2456751145866,42.4970587217516,129.174300849666,86.6772421279144,7.5416247704918,0.446100403430939,6.888635,7.977283,1.088648,29.6126229508197,0.0321404023696172,29.57,29.69,0.120000000000001,"15_1595592772",2
1773,2020-07-24 14:57:02,2020-07-24 14:58:01,77.310625,2.49125528934043,73.02,80.52,7.5,72.7841633937572,17.7279754151149,39.1279950930277,165.435788147547,126.307793054519,8.08956181967213,0.409600454037326,7.631282,9.113152,1.48187,29.6772131147541,0.132767103700942,29.39,29.79,0.399999999999999,"15_1595592772",2
1774,2020-07-24 14:58:02,2020-07-24 14:59:01,81.286875,1.25674032719572,79.28,83.1,3.81999999999999,75.405850037276,19.0627085920259,29.8998327754521,167.478356810664,137.578524035212,8.11662562295082,0.152036427966476,7.763275,8.538127,0.774851999999999,29.9739344262295,0.0660120869872734,29.83,30.07,0.240000000000002,"15_1595592772",2
1775,2020-07-24 14:59:02,2020-07-24 15:00:01,81.0225,0.241647125646744,80.73,81.42,0.689999999999998,65.9786586302014,10.2979353895418,31.7804971641414,138.061580463212,106.281083299071,8.54790180327869,0.330160673920584,7.812806,9.110589,1.297783,30.1149180327869,0.0517243640469903,29.99,30.19,0.200000000000003,"15_1595592772",2
1776,2020-07-24 15:00:02,2020-07-24 15:01:01,83.75375,0.517608281747243,83.27,84.98,1.71000000000001,65.8220448811708,9.75112109847335,39.0512483795333,106.57391800999,67.5226696304564,8.46407139344262,0.815712351704739,7.500618,9.699633,2.199015,30.4086885245902,0.0257860045913843,30.33,30.43,0.100000000000001,"15_1595592772",2
1777,2020-07-24 15:01:02,2020-07-24 15:02:01,95.871875,0.623562012420043,94.55,96.5,1.95,66.5065919614088,15.6052890040153,22.8910462845192,166.454197904409,143.563151619889,7.70575813114754,0.691885867442058,5.830666,8.863624,3.032958,30.7418032786885,0.024049130041182,30.69,30.77,0.0799999999999983,"15_1595592772",2
1778,2020-07-24 15:02:02,2020-07-24 15:03:01,97.256875,0.282057175054988,96.6,97.63,1.03,65.6083875683042,9.54894084555762,16.6132477258361,115.952576512987,99.3393287871504,9.29829809836066,0.663403905170264,8.003747,10.116069,2.112322,30.8585245901639,0.0383769056236424,30.79,30.91,0.120000000000001,"15_1595592772",2
1779,2020-07-24 15:03:02,2020-07-24 15:04:01,84.918125,1.01629535569144,84,87.17,3.17,67.1119386259499,8.90716948468798,24.6576560118759,115.017389989514,90.3597339776383,9.71556436065574,0.308037113608357,9.386108,10.590219,1.204111,30.8047540983607,0.0192878681539333,30.79,30.89,0.100000000000001,"15_1595592772",2
1780,2020-07-24 15:04:02,2020-07-24 15:05:01,94.24375,0.864976878303692,92.88,95.75,2.87,65.5868255781924,14.9269860059824,16.0312195418814,167.597732681561,151.56651313968,7.93158280327869,0.240235397477961,7.282051,8.391203,1.109152,30.8968852459016,0.0215670260356369,30.85,30.93,0.0799999999999983,"15_1595592772",2
1781,2020-07-24 15:05:02,2020-07-24 15:06:01,81.97625,1.17097608856885,80.33,83.8,3.47,67.0491353867897,13.865940473887,16.6132477258361,168.632737035251,152.019489309415,11.3403887704918,0.875248220747909,9.370245,12.339005,2.96876,31.0926229508197,0.0777582072698068,30.91,31.19,0.280000000000001,"15_1595592772",2
1782,2020-07-24 15:06:02,2020-07-24 15:07:01,92.4525,0.566115418149572,91.67,93.4,1.73,64.9946581741344,2.2003837951168,51.9807656734681,73.4642770331268,21.4835113596587,11.0259027213115,0.219992885844909,10.528708,11.269406,0.740698,31.2316393442623,0.174214239064711,31.11,31.63,0.52,"15_1595592772",2
1783,2020-07-24 15:07:02,2020-07-24 15:08:01,97.73875,1.56666471631084,95.18,99.98,4.8,65.3912141989474,4.79795090540642,48.91829923454,89.5432856220945,40.6249863875545,10.7043066557377,0.0878200468943709,10.465572,10.871803,0.406231,31.4034426229508,0.0323978006404569,31.33,31.45,0.120000000000001,"15_1595592772",2
1784,2020-07-24 15:08:02,2020-07-24 15:09:01,133.80125,2.5670784301744,128.92,136.8,7.88000000000002,63.8807412504539,4.32451384495989,51.7397332811061,84.2258867569823,32.4861534758761,8.02258231147541,0.255130063821151,7.64666,8.648335,1.001675,32.0752459016393,0.0331464707712627,32,32.11,0.109999999999999,"15_1595592772",2
1785,2020-07-24 15:09:02,2020-07-24 15:10:01,105.230625,3.17658615235497,101.17,111.05,9.88,63.6559156133373,1.58616411818718,56.1248608016091,71.7007670809734,15.5759062793643,8.07641208196721,0.40455972541329,7.564645,8.796987,1.232342,31.7224590163934,0.0219587292972455,31.67,31.75,0.0799999999999983,"15_1595592772",2
1786,2020-07-24 15:10:02,2020-07-24 15:11:01,89.6725,0.521734287417135,88.83,90.58,1.75,67.6086494849639,14.5972255945607,23.5372045918796,190.790460977482,167.253256385602,9.28236375409836,0.462748353128662,8.324119,9.9303,1.606181,31.7785245901639,0.0180587989240487,31.75,31.81,0.0599999999999987,"15_1595592772",2
1787,2020-07-24 15:11:02,2020-07-24 15:12:01,95.28625,0.344226185329743,94.83,96,1.17,66.5785083589031,9.19480945995798,39.1024295920343,143.714995738093,104.612566146058,8.5523071147541,0.21180425815094,8.008873,8.864905,0.856032000000001,32.0034426229508,0.0386818323377455,31.89,32.05,0.159999999999997,"15_1595592772",2
1788,2020-07-24 15:12:02,2020-07-24 15:13:01,103.95375,3.09460363643984,99.4,108.88,9.47999999999999,65.060048272393,5.16527813462631,47.3497624070069,89.9944442729661,42.6446818659592,9.80644145901639,0.141802494545356,9.563795,10.062246,0.498450999999999,31.8437704918033,0.0434420661888238,31.77,31.91,0.140000000000001,"15_1595592772",2
1789,2020-07-24 15:13:02,2020-07-24 15:14:01,103.21625,3.19519822024654,97.72,107.9,10.18,64.1435107614184,5.82459281178863,49.4974746830583,151.16216457831,101.664689895251,9.1422402295082,0.180794800683666,8.658225,9.549699,0.891474,31.9496721311475,0.0504634261326864,31.81,32,0.190000000000001,"15_1595592772",2
1790,2020-07-24 15:14:02,2020-07-24 15:15:01,85.498125,0.56730025853452,84.18,86.18,2,63.4567171792425,0.622271653196681,61.0655385630881,66.8281377864145,5.76259922332638,9.50112319672131,0.18657290269783,8.931181,9.770115,0.838934,31.8545901639344,0.0781787219664404,31.73,31.99,0.259999999999998,"15_1595592772",2
1791,2020-07-24 15:15:02,2020-07-24 15:16:01,90.6375,0.428524600616272,90.25,91.65,1.40000000000001,63.8514137036814,3.96771912540221,43.611924974713,117.991525119392,74.3796001446785,9.72172672131147,0.236354832614097,9.302326,10.148107,0.845780999999999,31.6995081967213,0.0308990954294885,31.65,31.75,0.100000000000001,"15_1595592772",2
1792,2020-07-24 15:16:02,2020-07-24 15:17:01,87.529375,0.288662865640871,87.15,87.93,0.780000000000001,63.3870440286657,0.646713352821107,60.4896685393465,66.6483308118065,6.15866227246008,10.0860260491803,0.267718097715142,9.700868,10.556558,0.855690000000001,32.0667213114754,0.0513394361569942,31.97,32.15,0.18,"15_1595592772",2
1793,2020-07-24 15:17:02,2020-07-24 15:18:01,87.67875,0.370870597378655,87.15,88.2,1.05,63.1451867381407,1.42351783911243,58.6088730483704,71.3091859440283,12.7003128956579,9.65454549180328,0.260454756978611,9.017882,10.130165,1.112283,32.4381967213115,0.116840463834543,32.03,32.5,0.469999999999999,"15_1595592772",2
1794,2020-07-24 15:18:02,2020-07-24 15:19:01,82.4475,0.799637417833859,81.1,83.62,2.52000000000001,65.7987781999998,13.5713775655837,12.2474487139159,141,128.752551286084,10.7529166229508,0.437914181310264,9.75469,11.380895,1.626205,32.5670491803279,0.04814368294647,32.45,32.65,0.199999999999996,"15_1595592772",2
1795,2020-07-24 15:19:02,2020-07-24 15:20:01,78.825625,0.858129506543156,77.3,80.08,2.78,63.3960980783237,1.80255258901147,54.018515344278,75.0533143838432,21.0347990395652,11.8971142622951,0.761969243310711,10.72093,12.977859,2.256929,32.623606557377,0.0502670464249104,32.53,32.71,0.18,"15_1595592772",2
1796,2020-07-24 15:20:02,2020-07-24 15:21:01,89.430625,0.50041940743074,88.73,90.27,1.53999999999999,63.3836272721983,0.591778440655265,60.8358446970205,65.9848467452945,5.14900204827397,9.26516719672131,0.159039442692667,9.064016,9.747047,0.683031,32.6747540983607,0.00887065525145626,32.66,32.68,0.0200000000000031,"15_1595592772",2
1797,2020-07-24 15:21:02,2020-07-24 15:22:01,85.7925,0.442410066190481,84.77,86.17,1.40000000000001,64.6327762248185,6.19301323809872,41.7372735094184,106.141415102683,64.4041415932643,9.78633613114754,0.43146428176063,8.410898,10.333579,1.922681,32.6431147540984,0.0454437741832886,32.55,32.73,0.18,"15_1595592772",2
1798,2020-07-24 15:22:02,2020-07-24 15:23:01,83.108125,1.40333041369451,81.45,85.97,4.52,64.4426435941652,5.59037030161112,41.3158565202272,111.986606342009,70.6707498217814,9.60164173770492,0.265301865793596,9.085801,10.412092,1.326291,32.1372131147541,0.259076122324058,31.77,32.39,0.620000000000001,"15_1595592772",2
1799,2020-07-24 15:23:02,2020-07-24 15:24:01,119.916875,2.42590661746628,116,123.43,7.43000000000001,65.9776358502093,11.4322919858494,34.132096331752,126.388290596875,92.2561942651225,9.87207540983607,0.679030381070302,8.039629,11.107939,3.06831,32.4139344262295,0.141530664386728,32.03,32.57,0.539999999999999,"15_1595592772",2
1800,2020-07-24 15:24:02,2020-07-24 15:25:01,127.653125,0.731926396572769,126.58,128.67,2.08999999999999,65.2115253571096,8.99638793814718,28.4253408071038,118.974787245029,90.5494464379256,10.1067573606557,0.518312722150764,8.778245,10.91153,2.133285,32.4768852459016,0.070274248095268,32.37,32.61,0.240000000000002,"15_1595592772",2
1801,2020-07-24 15:25:02,2020-07-24 15:26:01,112.6,3.94990295239431,106.38,118.77,12.39,63.9973889103369,3.92766795976078,41.5932686861708,97.9387563735624,56.3454876873915,9.1571761147541,0.283775261413447,8.508291,9.756018,1.247727,32.5959016393443,0.0378319551517119,32.53,32.65,0.119999999999997,"15_1595592772",2
1802,2020-07-24 15:26:02,2020-07-24 15:27:01,85.390625,0.557404326618777,84.62,86.15,1.53,64.4869034803695,3.10117365081178,53.2634959423431,94.408686041063,41.1451900987199,8.65143519672131,0.23864213609076,7.793584,9.140063,1.346479,32.3827868852459,0.0312052958935381,32.33,32.43,0.100000000000001,"15_1595592772",2
1803,2020-07-24 15:27:02,2020-07-24 15:28:01,81.424375,0.412633311791474,80.98,82.17,1.19,64.7048749772531,5.65543123164954,42.3792402008342,94.5991543302582,52.219914129424,8.52094075409836,0.188800863406541,8.225445,9.069581,0.844135999999999,32.2968852459016,0.035568758932831,32.21,32.33,0.119999999999997,"15_1595592772",2
1804,2020-07-24 15:28:02,2020-07-24 15:29:01,78.081875,0.600291248756245,77.25,78.88,1.63,64.383086693645,6.07342728118417,24.7588368062799,123.604207048142,98.8453702418623,9.63735909836066,0.197989240561089,9.336972,10.187832,0.850860000000001,32.4762295081967,0.0613776271515453,32.29,32.55,0.259999999999998,"15_1595592772",2
1805,2020-07-24 15:29:02,2020-07-24 15:30:01,78.868125,0.815485284968404,77.48,79.82,2.33999999999999,65.4703390230043,7.9332232113847,40.7185461430047,126.344766413176,85.6262202701713,10.2001219672131,0.108040416817499,9.949476,10.412092,0.462615999999999,32.5411475409836,0.0440491528732665,32.45,32.65,0.199999999999996,"15_1595592772",2
